,PrimerMix,Target,Assay,Conc,Exp_id,MeltPeaks,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
20,PM9.8,mcr-1,G10,10000,20200520_02,87.54119029,-0.00151434,-0.00032044,0.00014916,0.00056496,0.00112066,0.00082256,0.00130146,0.00121966,0.00149326,0.00161006,0.00169546,0.00178296,0.00190526,0.00239266,0.00246546,0.00241566,0.00312396,0.00389186,0.00502406,0.00722076,0.01163926,0.01896626,0.03265746,0.05781436,0.09902036,0.15914036,0.22852336,0.29172236,0.34020736,0.37854936,0.40894036,0.43504236,0.45606836,0.47357236,0.48843736,0.50147236,0.51231936,0.52243536,0.53059936,0.53770536,0.54478236,0.54995236,0.55572336,0.56068336,0.56555736
21,PM9.8,mcr-1,G10,10000,20200520_02,87.59041589,-0.00210634,-0.00042684,0.00039776,0.00091046,0.00122496,0.00155876,0.00179436,0.00195516,0.00204656,0.00231916,0.00233656,0.00241126,0.00264026,0.00275666,0.00314186,0.00354786,0.00398326,0.00439756,0.00599626,0.00820356,0.01279136,0.02155926,0.03722506,0.06575106,0.11417406,0.18490106,0.26676706,0.34313206,0.40156606,0.44691806,0.48499606,0.51522706,0.53986706,0.56114706,0.57893106,0.59402806,0.60717306,0.61825306,0.62840406,0.63702806,0.64493406,0.65169406,0.65839906,0.66409606,0.66947706
22,PM9.8,mcr-1,G10,10000,20200520_02,87.63470639,-0.0016217,-0.0003384,0.0003514,0.0005944,0.0010143,0.0011717,0.0013923,0.0016981,0.0017159,0.0020337,0.0021123,0.002145,0.0021556,0.0026602,0.0027802,0.0029835,0.0034628,0.0043038,0.0056756,0.0079718,0.0124163,0.0207605,0.0359954,0.0638294,0.1101234,0.1769814,0.2552304,0.3261424,0.3809934,0.4239734,0.4593044,0.4883764,0.5123984,0.5323564,0.5493614,0.5637614,0.5757754,0.5869914,0.5960604,0.6053484,0.6122734,0.6191424,0.6250004,0.6308724,0.6358964
23,PM9.8,mcr-1,G10,10000,20200520_02,87.58399807,-0.00183386,-0.00053456,0.00026704,0.00090504,0.00119634,0.00152734,0.00172194,0.00194184,0.00216634,0.00227234,0.00245524,0.00272764,0.00329904,0.00338584,0.00365934,0.00421454,0.00480794,0.00596934,0.00753314,0.01000104,0.01469964,0.02330944,0.03903574,0.06708674,0.11377774,0.18183874,0.26112874,0.33327174,0.38842474,0.43228174,0.46887574,0.49842974,0.52298074,0.54341274,0.56182374,0.57617074,0.58955074,0.60049674,0.61112874,0.61946274,0.62777674,0.63430874,0.64147574,0.64707474,0.65302374
24,PM9.8,mcr-1,G10,100000,20200520_02,87.70488346,-0.00182006,-0.00031076,0.00035904,0.00082734,0.00094444,0.00137714,0.00142704,0.00158844,0.00177734,0.00192004,0.00196144,0.00229144,0.00253564,0.00310914,0.00385254,0.00516194,0.00822684,0.01363204,0.02415314,0.04325374,0.07746174,0.13187974,0.20637574,0.28490774,0.35207574,0.40349274,0.44421674,0.47825874,0.50517874,0.52810374,0.54650274,0.56265174,0.57676174,0.58859974,0.59824774,0.60729574,0.61516874,0.62280074,0.62987574,0.63542474,0.64153674,0.64614674,0.65119274,0.65558874,0.66077674
25,PM9.8,mcr-1,G10,100000,20200520_02,87.68390012,-0.00138522,-0.00024512,0.00029998,0.00049988,0.00083048,0.00096428,0.00088148,0.00131668,0.00164308,0.00162078,0.00186808,0.00198788,0.00233518,0.00311218,0.00405308,0.00547808,0.00892598,0.01459598,0.02583218,0.04611178,0.08230478,0.13984278,0.21709878,0.29852878,0.36868578,0.42213678,0.46429878,0.49843878,0.52685778,0.54936778,0.56873178,0.58555378,0.59961378,0.61182678,0.62203578,0.63188478,0.63956978,0.64718778,0.65391478,0.66075678,0.66631678,0.67167578,0.67678378,0.68189478,0.68606578
26,PM9.8,mcr-1,G10,100000,20200520_02,87.6130608,-0.00183172,-0.00047962,9.25E-05,0.00111978,0.00109908,0.00163118,0.00185758,0.00174318,0.00214298,0.00257468,0.00268738,0.00320438,0.00383998,0.00433278,0.00561208,0.00722778,0.01043808,0.01633258,0.02678348,0.04600248,0.08031248,0.13509848,0.20981648,0.28760848,0.35496848,0.40548448,0.44658348,0.47957048,0.50709048,0.52940848,0.54815148,0.56484348,0.57837148,0.59066848,0.60126548,0.61114848,0.61926448,0.62708748,0.63426248,0.64038148,0.64612448,0.65161648,0.65708148,0.66167648,0.66652748
27,PM9.8,mcr-1,G10,100000,20200520_02,87.66208709,-0.00174006,-0.00049146,0.00018484,0.00089414,0.00115254,0.00153134,0.00199324,0.00203864,0.00249744,0.00218984,0.00264334,0.00308764,0.00349724,0.00427074,0.00502444,0.00664014,0.00982184,0.01549774,0.02645284,0.04591484,0.08124484,0.13734884,0.21318284,0.29265784,0.36143284,0.41315384,0.45503984,0.48958084,0.51665384,0.54057384,0.56046684,0.57712384,0.59111184,0.60357384,0.61410684,0.62410184,0.63249784,0.64029384,0.64647084,0.65203484,0.65743384,0.66200084,0.66678684,0.66981684,0.67174384
28,PM9.8,mcr-1,G10,100000,20200520_02,87.6797155,-0.00152734,-0.00042074,0.00028766,0.00045006,0.00121036,0.00140576,0.00148116,0.00176086,0.00193356,0.00192136,0.00225376,0.00246526,0.00281566,0.00336996,0.00398106,0.00563496,0.00884206,0.01430296,0.02450576,0.04390666,0.07785266,0.13188766,0.20485866,0.28074866,0.34609166,0.39518966,0.43488266,0.46811566,0.49460966,0.51685566,0.53554366,0.55168266,0.56478066,0.57702766,0.58635766,0.59575066,0.60391966,0.61161066,0.61766866,0.62333466,0.62930666,0.63432566,0.63940766,0.64348666,0.64741066
29,PM9.8,mcr-1,G10,100000,20200520_02,87.65380059,-0.00189908,-0.00046738,0.00030062,0.00108782,0.00097802,0.00181572,0.00169062,0.00193692,0.00214172,0.00219932,0.00253062,0.00262152,0.00314112,0.00379092,0.00472962,0.00666342,0.00957112,0.01517282,0.02599842,0.04552402,0.08028302,0.13510702,0.20762702,0.28362402,0.34742802,0.39748102,0.43622602,0.46802502,0.49440502,0.51665402,0.53479002,0.55030402,0.56374902,0.57529002,0.58477502,0.59422702,0.60215002,0.60893502,0.61584602,0.62183602,0.62793602,0.63242802,0.63725002,0.64206002,0.64577302
