,Method,TrainSize,Train/Test,Accuracy,Repeat ID
6,AMCA,6738,Train,0.9930246363906204,0
7,AMCA,6738,Test,0.9912,0
0,MCA,18175,Train,0.8963961485557084,0
1,MCA,18175,Test,0.8938,0
2,ACA,18175,Train,0.8203026134800551,0
3,ACA,18175,Test,0.8236,0
4,FFI,18175,Train,0.3440440165061898,0
5,FFI,18175,Test,0.3356,0
6,AMCA,18175,Train,0.993452544704264,0
7,AMCA,18175,Test,0.9932,0
0,MCA,3477,Train,0.8858211101524303,0
1,MCA,3477,Test,0.8914,0
2,ACA,3477,Train,0.7480586712683348,0
3,ACA,3477,Test,0.7288,0
4,FFI,3477,Train,0.3563416738567731,0
5,FFI,3477,Test,0.3382,0
6,AMCA,3477,Train,0.991947080816796,0
7,AMCA,3477,Test,0.9896,0
0,MCA,665,Train,0.843609022556391,0
1,MCA,665,Test,0.8204,0
2,ACA,665,Train,0.6481203007518797,0
3,ACA,665,Test,0.6346,0
4,FFI,665,Train,0.3097744360902256,0
5,FFI,665,Test,0.2888,0
6,AMCA,665,Train,0.9834586466165414,0
7,AMCA,665,Test,0.9798,0
0,MCA,665,Train,0.8706766917293233,0
1,MCA,665,Test,0.8776,0
2,ACA,665,Train,0.6526315789473685,0
3,ACA,665,Test,0.6494,0
4,FFI,665,Train,0.3007518796992481,0
5,FFI,665,Test,0.3234,0
6,AMCA,665,Train,0.9819548872180452,0
7,AMCA,665,Test,0.9786,0
0,MCA,177,Train,0.7796610169491526,0
1,MCA,177,Test,0.7562,0
2,ACA,177,Train,0.6957627118644067,0
3,ACA,177,Test,0.6437999999999999,0
4,FFI,177,Train,0.2542372881355932,0
5,FFI,177,Test,0.2176,0
6,AMCA,177,Train,0.9830508474576272,0
7,AMCA,177,Test,0.9316,0
0,MCA,926,Train,0.8444924406047516,0
1,MCA,926,Test,0.8412,0
2,ACA,926,Train,0.7257019438444925,0
3,ACA,926,Test,0.6774,0
4,FFI,926,Train,0.33585313174946,0
5,FFI,926,Test,0.3096,0
6,AMCA,926,Train,0.9892008639308856,0
7,AMCA,926,Test,0.9840000000000001,0
0,MCA,1289,Train,0.8471683475562451,0
1,MCA,1289,Test,0.838,0
2,ACA,1289,Train,0.7020946470131885,0
3,ACA,1289,Test,0.6886,0
4,FFI,1289,Train,0.33979829325058186,0
5,FFI,1289,Test,0.3122,0
6,AMCA,1289,Train,0.9844840961986036,0
7,AMCA,1289,Test,0.985,0
0,MCA,3477,Train,0.8930112165660051,0
1,MCA,3477,Test,0.8884,0
2,ACA,3477,Train,0.7897612884670693,0
3,ACA,3477,Test,0.7868,0
4,FFI,3477,Train,0.34282427379925223,0
5,FFI,3477,Test,0.327,0
6,AMCA,3477,Train,0.9951107276387692,0
7,AMCA,3477,Test,0.9914,0
0,MCA,35218,Train,0.8938894883298313,0
1,MCA,35218,Test,0.8932,0
2,ACA,35218,Train,0.8346868078823328,0
3,ACA,35218,Test,0.8368,0
4,FFI,35218,Train,0.3440570162984837,0
5,FFI,35218,Test,0.348,0
6,AMCA,35218,Train,0.9937531943892328,0
7,AMCA,35218,Test,0.993,0
0,MCA,25300,Train,0.8918181818181818,0
1,MCA,25300,Test,0.8974,0
2,ACA,25300,Train,0.8192094861660079,0
3,ACA,25300,Test,0.8198,0
4,FFI,25300,Train,0.3424901185770751,0
5,FFI,25300,Test,0.345,0
6,AMCA,25300,Train,0.9934387351778656,0
7,AMCA,25300,Test,0.9926,0
0,MCA,343,Train,0.9096209909999999,0
1,MCA,343,Test,0.8640000000000001,0
2,ACA,343,Train,0.075364431,0
3,ACA,343,Test,0.6624,0
4,FFI,343,Train,0.23615160300000002,0
5,FFI,343,Test,0.2328,0
6,AMCA,343,Train,0.9037900870000001,0
7,AMCA,343,Test,0.8856,0
0,MCA,478,Train,0.7364016736401674,0
1,MCA,478,Test,0.7154,0
2,ACA,478,Train,0.7366108786610879,0
3,ACA,478,Test,0.6854,0
4,FFI,478,Train,0.3117154811715481,0
5,FFI,478,Test,0.2916,0
6,AMCA,478,Train,0.9832635983263598,0
7,AMCA,478,Test,0.966,0
0,MCA,18175,Train,0.8963961485557084,0
1,MCA,18175,Test,0.8938,0
2,ACA,18175,Train,0.8043466299862448,0
3,ACA,18175,Test,0.8114,0
4,FFI,18175,Train,0.3440440165061898,0
5,FFI,18175,Test,0.3356,0
6,AMCA,18175,Train,0.9927372764786796,0
7,AMCA,18175,Test,0.9928,0
0,MCA,35218,Train,0.8921006303594753,0
